[2025-07-17 00:02:11] 👁️ Made body visible: Faucet Inox
[2025-07-17 00:02:13] ✅ Body already visible: Kitchen_Cooktop_Simple
[2025-07-17 00:02:14] 👁️ Made body visible: Cut-Sink
[2025-07-17 00:02:16] 💾 Model saved after showing bodies.
[2025-07-17 00:04:37] 👁️ Made body visible: Extrude_Drawers1_1
[2025-07-17 00:07:20] 👁️ Made body visible: Extrude_Drawers1_2
[2025-07-17 00:08:12] 👁️ Made body visible: Extrude_Drawers1_3
[2025-07-17 00:08:37] 👁️ Made body visible: Extrude_Drawers1_4
[2025-07-17 00:09:01] 👁️ Made body visible: Extrude_Drawers1_5
[2025-07-17 00:09:26] 👁️ Made body visible: Extrude_Drawers1_6
[2025-07-17 00:09:51] 👁️ Made body visible: Extrude_Drawers1_7
[2025-07-17 00:16:57] 👁️ Made body visible: Extrude_Drawers2_1
[2025-07-17 00:18:21] ❌ Body not found: Extrude_Drawers2_2
[2025-07-17 00:19:52] 👁️ Made body visible: Extrude_Drawers2_3
[2025-07-17 00:20:13] 👁️ Made body visible: Extrude_Drawers2_4
[2025-07-17 00:20:59] 👁️ Made body visible: Extrude_Drawers3_1
[2025-07-17 00:21:17] 👁️ Made body visible: Extrude_Drawers3_2
[2025-07-17 00:23:16] 👁️ Made body visible: Extrude_Drawers1_8
[2025-07-17 00:30:04] 👁️ Made body visible: Extrude_Drawers1_9
[2025-07-17 00:32:21] 👁️ Made body visible: Extrude_Drawers1_10
[2025-07-17 00:32:52] 👁️ Made body visible: Extrude_Drawers1_11
[2025-07-17 00:33:23] 👁️ Made body visible: Extrude_Drawers1_12
[2025-07-17 00:33:56] 👁️ Made body visible: Extrude_Drawers1_13
[2025-07-17 00:34:27] 👁️ Made body visible: Extrude_Drawers1_14
[2025-07-17 00:46:30] 👁️ Made body visible: Extrude_Drawers2_5
[2025-07-17 00:47:02] 👁️ Made body visible: Extrude_Drawers2_6
